Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Bag/Case closure (product.metafields.shopify.bag-case-closure),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Band strength (product.metafields.shopify.band-strength),Blade material (product.metafields.shopify.blade-material),Board material (product.metafields.shopify.board-material),Board mounting type (product.metafields.shopify.board-mounting-type),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Corrector features (product.metafields.shopify.corrector-features),Desk organizer features (product.metafields.shopify.desk-organizer-features),Envelope features (product.metafields.shopify.envelope-features),Fabric (product.metafields.shopify.fabric),Frame design (product.metafields.shopify.frame-design),Furniture/Fixture material (product.metafields.shopify.furniture-fixture-material),Hardware material (product.metafields.shopify.hardware-material),Ink color (product.metafields.shopify.ink-color),Lead grade (product.metafields.shopify.lead-grade),Marker tip design (product.metafields.shopify.marker-tip-design),Material (product.metafields.shopify.material),Office instrument material (product.metafields.shopify.office-instrument-material),Office supply material (product.metafields.shopify.office-supply-material),Paper size (product.metafields.shopify.paper-size),Paper type (product.metafields.shopify.paper-type),Pen color (product.metafields.shopify.pen-color),Presentation supply features (product.metafields.shopify.presentation-supply-features),Shape (product.metafields.shopify.shape),Spinner type (product.metafields.shopify.spinner-type),Stapler features (product.metafields.shopify.stapler-features),Suitcase handle type (product.metafields.shopify.suitcase-handle-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Kuwait,Price / Kuwait,Compare At Price / Kuwait,Status
3m-scotch®-white-permanent-glue-stick-6015-15g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/51131590953_7.jpg?v=1724759070,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3m-scotch®-white-permanent-glue-stick-6015-15g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/51131590953_1.jpg?v=1724759069,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3m-scotch®-white-permanent-glue-stick-6015-15g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/51131590953_2.jpg?v=1724759069,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3m-scotch®-sosd-promo-10-scotch-glue-stick-utility-tape-bundle,3M Scotch Permanent Glue Stick White 8g 4 PCS with Utility Tape Clear 2 PCS,"<h2 class=""css-18opr5"">DESCRIPTION</h2>
<div class=""css-1weog53"">
<p>The 3M Scotch Permanent Glue Stick White 8g 4 PCS with Utility Tape Clear 2 PCS is a convenient set of adhesive products that are perfect for various crafting and office needs.</p>
<p>The glue sticks provide a strong and permanent bond, making them ideal for sticking paper, cardboard, and other lightweight materials. The utility tape is transparent and can be used for repairing, sealing, or attaching objects together.</p>
<p>Both the glue sticks and utility tape are easy to use and mess-free. This set is a must-have for anyone who frequently works with paper or needs reliable adhesives for everyday tasks.</p>
</div>
<!---->",3M,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Crafting Adhesives & Magnets > Craft & Office Glue > Glue Stick,Adhesive,"3M, ADHESIVE & GLUE, Brands",true,Title,Default Title,,,,,,,,029 0868-1,0.0,shopify,86,continue,manual,0.990,1.600,true,true,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/WhatsApp_Image_2024-09-03_at_1.51.01_PM.jpg?v=1725360747,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
3m-scotch®-sosd-promo-10-scotch-glue-stick-utility-tape-bundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/WhatsApp_Image_2024-09-01_at_2.11.32_PM.jpg?v=1725190058,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3m-scotch®-sosd-promo-10-scotch-glue-stick-utility-tape-bundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/029-0868-1.jpg?v=1724156694,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3m-scotch®-sosd-promo-10-scotch-glue-stick-utility-tape-bundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/029-868-1.jpg?v=1724156370,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3m-scotch®-sosd-promo-10-scotch-glue-stick-utility-tape-bundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/8887719168137_4.jpg?v=1724144277,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3m-scotch®-white-gluestick-6020-12d-glb-20gm-copy,3M Scotch® Permanent Glue Stick White 20g 5 PCS Value Pack,"<h2 class=""css-18opr5"">DESCRIPTION</h2>
<div class=""css-1weog53"">
<p>The 3M Scotch Permanent Glue Stick is a reliable adhesive solution for all your crafting and office needs.</p>
<p>With a 20g capacity and 5 PCS in a pack, you'll have plenty of glue to complete multiple projects. The white color ensures a clean and seamless finish, making it perfect for paper, cardboard, and other lightweight materials.</p>
<p>This glue stick is a must-have for any DIY enthusiast or professional.</p>
</div>
<!---->",3M,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Crafting Adhesives & Magnets > Craft & Office Glue > Glue Stick,Adhesive,"3M, ADHESIVE & GLUE, Brands",true,Title,Default Title,,,,,,,,029 0927-5,0.0,shopify,92,continue,manual,2.130,2.600,true,true,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/WhatsApp_Image_2024-09-03_at_1.40.04_PM.jpg?v=1725360323,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
3m-scotch®-white-gluestick-6020-12d-glb-20gm-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/WhatsApp_Image_2024-09-01_at_2.11.30_PM.jpg?v=1725190364,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3m-scotch®-white-gluestick-6020-12d-glb-20gm-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/029-927-5.jpg?v=1724156068,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3m-scotch®-white-gluestick-6040-12d-glb-40gm,"3M Scotch® White Gluestick 6040-12D-GLB, 40gm","<table class=""a-normal a-spacing-micro"">
<tbody>
<tr class=""a-spacing-small po-brand"">
<td class=""a-span3""><span class=""a-size-base a-text-bold"">Brand</span></td>
<td class=""a-span9""><span class=""a-size-base po-break-word"">Scotch</span></td>
</tr>
<tr class=""a-spacing-small po-compatible_material"">
<td class=""a-span3""><span class=""a-size-base a-text-bold"">Compatible material</span></td>
<td class=""a-span9""><span class=""a-size-base po-break-word"">Wood, Paper, Cardboard, Fabric</span></td>
</tr>
<tr class=""a-spacing-small po-item_form"">
<td class=""a-span3""><span class=""a-size-base a-text-bold"">Item form</span></td>
<td class=""a-span9""><span class=""a-size-base po-break-word"">Stick</span></td>
</tr>
<tr class=""a-spacing-small po-special_feature"">
<td class=""a-span3""><span class=""a-size-base a-text-bold"">Special features</span></td>
<td class=""a-span9""><span class=""a-size-base po-break-word"">Non Toxic, Strong, Washable</span></td>
</tr>
<tr class=""a-spacing-small po-color"">
<td class=""a-span3""><span class=""a-size-base a-text-bold"">Colour</span></td>
<td class=""a-span9""><span class=""a-size-base po-break-word"">White</span></td>
</tr>
</tbody>
</table>
<p> </p>
<h1 class=""a-size-base-plus a-text-bold"">About this item</h1>
<ul>
<li style=""list-style-type: none;"">
<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">Scotch Glue Stick is strong, fast-bonding, and no mess. It has been specially formulated to offer high and long lasting adhesive performances</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Its formula has been especially developed to provides great adhesive performances on paper and cardboard. Moreover, its texture, designed thanks to new raw materials and new processes, does not clump during use, for a clean and lump-free result</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">This adhesive, Scotch glue stick offers strong bonding, and avoids paper wrinkling. Great for paper, fabrics, and other lightweight items. Cleans off hands and household surfaces with soap and water</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Non-toxic glue and water-washable, washes cleanly out of most fabrics. Acid free - Ph above 7.0, conforms to ASTMD-4236</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">This glue stick is great for paper-based, school, home and office projects. It can be used by kids</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">Washable, non-toxic and acid free glue stick. </span></li>
</ul>
</li>
</ul>
<ul class=""sps2-pdp_details--highlights_list""></ul>",3M,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Crafting Adhesives & Magnets > Craft & Office Glue > Glue Stick,Adhesive,"3M, ADHESIVE & GLUE, Brands",true,Packet,Packet/12 Pieces,,,,,,,,029 6040,0.0,shopify,94,continue,manual,10.800,12.000,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0510/5932/7173/files/029-6040_12D.jpg?v=1724154431,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/029-6040_12D.jpg?v=1724154431,kg,,,true,,,active
3m-scotch®-white-gluestick-6040-12d-glb-40gm,,,,,,,,,1 Piece,,,,,,,,029 6040,0.0,shopify,100,continue,manual,1.000,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0510/5932/7173/files/029_6040_12D.jpg?v=1724154430,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/6291103650429_2.jpg?v=1724146227,kg,,,,,,
3m-scotch®-white-gluestick-6040-12d-glb-40gm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/029_6040-12D.jpg?v=1724154431,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3m-scotch®-white-gluestick-6040-12d-glb-40gm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/Gluestick_box.jpg?v=1724146434,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3m-scotch®-white-gluestick-6040-12d-glb-40gm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/8887719168137_4.jpg?v=1724144277,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3m-scotch®-white-gluestick-6040-12d-glb-40gm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/6291103650429_2.jpg?v=1724146227,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3m-scotch®-white-gluestick-6040-12d-glb-40gm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/6291103650429_3.jpg?v=1724146227,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3m-scotch®-white-gluestick-6040-12d-glb-40gm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/8887719168137_6.jpg?v=1724144277,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
original®-mounting-tape-heavy-duty-copy,Original® 12 Pack Soft Tape Measure Double Scale 60-inch/150cm,"<h1 class=""a-size-base-plus a-text-bold"">About this item</h1>
<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini""><span class=""a-list-item"">★Measuring range :0 ~ 60 inches, 0 ~ 150 cm. The inch and centimeter scales are printed exactly on two surfaces. Both sides can be measured according to your requirements.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">★Excellent materials: Vinyl tape measure, a soft and lightweight tape that resists stretching or deformation and provides superior measurement consistency; Metal ends prevent wear; Very small and portable, it's a great weight loss aid and you can carry it in your pocket or backpack.</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">★Operation and reading: Classic white tape measure with black markings, you can read clearly; The tape measure has metal tags on each end to help you measure things more easily;</span></li>
<li class=""a-spacing-mini""><span class=""a-list-item"">★Widely used: cloth tape measure; Body tape, sewing tape, tailoring tape. Good sewing tool with accurate tape measure for sewing, cutting, body, waist or measuring any curved surface. Can provide you with a precise size for tailors, craftsmen, quilters or anyone who needs an elastic tape measure</span></li>
</ul>
<!---->",Original,Hardware > Tools > Measuring Tools & Sensors > Tape Measures,Desk Accessories,"Arts & Crafts, Below 1 KD, Brands, Office Supplies, Original, Tape & Packing Material",true,Title,Default Title,,,,,,,,049 010074,900.0,shopify,76,continue,manual,2.500,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/MearuringTape.jpg?v=1723455122,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,true,,,active
original®-self-adhesive-tape-copy,Original® Parcel String,"<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0510/5932/7173/files/Original_Logo.jpg?v=1722946596"" width=""133"" height=""64""> </p>
<p><strong><span style=""color: rgb(43, 0, 255);"">Parcel String</span></strong></p>
<ul>
<li>Strong hold quality</li>
<li>Perfect for hobbies, crafts and various DIY projects.</li>
<li>Weight: 100g Ball, Thickness 1.0 mm.<br>
</li>
<li>Pack Contents: 1 ball of string.<br>
</li>
<li>Made in Malaysia</li>
</ul>
<!---->",Original,Office Supplies > Shipping Supplies > Packing Materials,Desk Accessories,"ADHESIVE & GLUE, Arts & Crafts, Brands, Desk Accessories, Office Supplies, Original, Tape & Packing material",true,Title,Default Title,,,,,,,,092 PS 07,0.0,shopify,97,deny,manual,0.450,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/Parcelstring.jpg?v=1723443410,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
original®-graphite-pencils-pack-of-12s-copy-1,Original® Checking Pencils Pack of 12's,"<p data-mce-fragment=""1""><img height=""86"" width=""178"" src=""https://cdn.shopify.com/s/files/1/0510/5932/7173/files/Original_Logo.jpg?v=1722946596"" alt="""" data-mce-src=""https://cdn.shopify.com/s/files/1/0510/5932/7173/files/Original_Logo.jpg?v=1722946596""></p>
<p data-mce-fragment=""1"">Original® Checking Pencils Art No.:43795</p>
<p data-mce-fragment=""1"">Packing:  12 Pcs Pkt</p>
<p><img height=""107"" width=""107"" alt=""See related image detail. Outline Sharpen Vector Icon. Isolated Black Simple Line Element ..."" src=""https://th.bing.com/th/id/OIP.8B6pUABp3QHbm0KTeCVZTQHaHa?pid=ImgDet&amp;w=207&amp;h=207&amp;c=7&amp;dpr=1.1"" data-mce-src=""https://th.bing.com/th/id/OIP.8B6pUABp3QHbm0KTeCVZTQHaHa?pid=ImgDet&amp;w=207&amp;h=207&amp;c=7&amp;dpr=1.1""><strong> Easy to Sharpen</strong></p>
<p><strong> <img src=""https://th.bing.com/th/id/OIP.7qsCg9-beEwaMbTt7qWnmQHaFh?w=270&amp;h=200&amp;c=7&amp;r=0&amp;o=5&amp;dpr=1.1&amp;pid=1.7"" alt=""Image result for broken pencil logo"" width=""124"" height=""92"">Anti-Break Leads</strong></p>
<p><img><img alt="""" src=""https://cdn.shopify.com/s/files/1/0510/5932/7173/files/Brillant_Colors.jpg?v=1723363193"" width=""89"" height=""111"">    <strong>Brillant Colors</strong></p>
<p> </p>
<p><strong><img src=""https://th.bing.com/th/id/OIP.WLpzDKO101wANYgqePp2AAHaHa?w=196&amp;h=196&amp;c=7&amp;r=0&amp;o=5&amp;dpr=1.1&amp;pid=1.7"" alt=""Image result for Free Sharpener logo"" width=""85"" height=""85""> Free Sharpener</strong></p>
<p> </p>
<p><img alt=""Image result for Does not contain rain forest wood  logo"" src=""https://th.bing.com/th/id/OIP.ko13yd1_i0hveVO50KGKLQAAAA?w=100&amp;h=100&amp;c=7&amp;r=0&amp;o=5&amp;dpr=1.1&amp;pid=1.7"" data-mce-src=""https://th.bing.com/th/id/OIP.ko13yd1_i0hveVO50KGKLQAAAA?w=100&amp;h=100&amp;c=7&amp;r=0&amp;o=5&amp;dpr=1.1&amp;pid=1.7""> Does not contain Rain Forest Wood</p>
<p><img height=""57"" width=""82"" alt=""Image result for CE logo"" src=""https://th.bing.com/th/id/OIP.VeSRuYuWPxZkaqe1EPT-RAHaFN?w=267&amp;h=187&amp;c=7&amp;r=0&amp;o=5&amp;dpr=1.1&amp;pid=1.7"" data-mce-src=""https://th.bing.com/th/id/OIP.VeSRuYuWPxZkaqe1EPT-RAHaFN?w=267&amp;h=187&amp;c=7&amp;r=0&amp;o=5&amp;dpr=1.1&amp;pid=1.7""> Complies to European Safety STD. EN71</p>
<p><img height=""82"" width=""82"" src=""https://th.bing.com/th/id/OIP.MUubJpqFdkKTCGPQER2ZhgHaHa?w=200&amp;h=200&amp;c=7&amp;o=5&amp;dpr=1.1&amp;pid=1.7"" data-mce-src=""https://th.bing.com/th/id/OIP.MUubJpqFdkKTCGPQER2ZhgHaHa?w=200&amp;h=200&amp;c=7&amp;o=5&amp;dpr=1.1&amp;pid=1.7""> <img height=""89"" width=""119"" alt=""Image result for UK CA logo"" src=""https://th.bing.com/th/id/OIP.q1j9uxm0C_ISLTzB7IerIwHaE8?w=244&amp;h=180&amp;c=7&amp;r=0&amp;o=5&amp;dpr=1.1&amp;pid=1.7"" data-mce-src=""https://th.bing.com/th/id/OIP.q1j9uxm0C_ISLTzB7IerIwHaE8?w=244&amp;h=180&amp;c=7&amp;r=0&amp;o=5&amp;dpr=1.1&amp;pid=1.7""> non-toxic<img height=""63"" width=""62"" alt=""Image result for Non Toxic logo"" src=""https://th.bing.com/th/id/OIP.TOAvena6PAmuGp_eo7dXvgHaHa?w=179&amp;h=180&amp;c=7&amp;r=0&amp;o=5&amp;dpr=1.1&amp;pid=1.7"" data-mce-src=""https://th.bing.com/th/id/OIP.TOAvena6PAmuGp_eo7dXvgHaHa?w=179&amp;h=180&amp;c=7&amp;r=0&amp;o=5&amp;dpr=1.1&amp;pid=1.7""></p>
<p><strong><span style=""color: rgb(255, 42, 0);"" data-mce-style=""color: rgb(255, 42, 0);"">Warning !</span></strong></p>
<p><span style=""color: rgb(0, 0, 0);"" data-mce-style=""color: rgb(0, 0, 0);"">Not suitable for children under three years due to the presence of small parts which can be swallowed.</span></p>
<p><span style=""color: rgb(0, 0, 0);"" data-mce-style=""color: rgb(0, 0, 0);""><img src=""https://th.bing.com/th/id/OIP._oOOA-iaApE0NWt-oAVcBwHaHa?pid=ImgDet&amp;w=207&amp;h=207&amp;c=7&amp;dpr=1.1"" alt=""See related image detail. Recycle vector icon. Ecology illustration sign. recycling symbol. Eco ..."" width=""72"" height=""72"" data-mce-src=""https://th.bing.com/th/id/OIP._oOOA-iaApE0NWt-oAVcBwHaHa?pid=ImgDet&amp;w=207&amp;h=207&amp;c=7&amp;dpr=1.1""></span></p>
<p>Recycle</p>
<p><img height=""70"" width=""69"" alt=""Image result for made in china sticker"" src=""https://th.bing.com/th/id/OIP.-mQkg_YuvYMmiwBQ6d58sQHaHa?w=179&amp;h=180&amp;c=7&amp;r=0&amp;o=5&amp;dpr=1.1&amp;pid=1.7"" data-mce-src=""https://th.bing.com/th/id/OIP.-mQkg_YuvYMmiwBQ6d58sQHaHa?w=179&amp;h=180&amp;c=7&amp;r=0&amp;o=5&amp;dpr=1.1&amp;pid=1.7""></p>",Original,Office Supplies > Office Instruments > Writing & Drawing Instruments > Pens & Pencils > Pencils > Writing Pencils,Pencils,"Brands, Conference Supplies, Desk Accessories, Kids, Office Supplies, Original, PENCILS",true,Title,Default Title,,,,,,,,,0.0,shopify,88,continue,manual,0.600,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/09743795.jpg?v=1725101017,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
original®-graphite-pencils-pack-of-12s-copy-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/09743795-1.jpg?v=1723363308,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
original®-graphite-pencils-pack-of-12s-copy-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0510/5932/7173/files/image-of-a-pencil-sharpener-vector.jpg?v=1723363391,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
